,#,Name,Origin,Country,Time
124,125,Line Beate Svestad,Oslo,Norway,01:01:16 
125,126,Rosa Frauenknecht,Helsinki,Finland,01:01:33 
126,127,Patrick Inniger,Thun (Bern),Switzerland,01:01:56 
127,128,Jessica Mak,Singapore,Malaysia,01:02:02 
128,129,Britney Ponchaut,Brakel ( / ),Belgium,01:02:04 
129,130,Netherlands Nienke Schenkelaars,Delft (Zuid-Holland),The Netherlands,01:02:20 
130,131,Karen Kavett,Los Angeles (California),USA,01:02:21 
131,132,Roselien Lapon,Gent (Oost-Vlaanderen),Belgium,01:02:40 
132,133,Cécile Bruder,Vertou (Loire Atlantique),France,01:02:41 
133,134,Tammy McLeod,Los Angeles (California),USA,01:03:16 
134,135,Marc Fabel,Hamburg,Germany,01:03:27 
135,136,Kotryna Kostiukaitė,Vilnius,Lithuania,01:03:32 
136,137,Fenna Bontje,Eppegem (Vlaams Brabant),Belgium,01:03:44 
137,138,Sammy Brownlow,Westport (Ct),USA,01:04:49 
138,139,Andrea Engholm,København,Denmark,01:04:50 
139,140,Zealand Charlotte Kirby,(),New Zealand,01:05:43 
140,141,Grace Tham,Sydney (Nsw),Malaysia,01:05:46 
141,142,Puzzlers Natalia Komarova,Novosibirsk,International Puzzlers,01:05:51 
142,143,Netherlands Charlotte Reitsema,Sixthaselbach (Bavaria),The Netherlands,01:05:56 
143,144,Becca Taylor,Redwood City (California),USA,01:05:58 
144,145,Nora Vinkler,Budapest,Hungary,01:06:18 
145,146,Fruzsina Wilheim,Attendorn (Nrw),Hungary,01:07:11 
146,147,Jimena Gordillo Uribe,Castellbisbal (Barcelona),Colombia,01:08:03 
147,148,Maria Teixeira,Braga,Portugal,01:08:04 
148,149,Sofia Guerrero Soriano,Maguncia (Rheinland-Pfalz),Mexico,01:08:16 
149,150,Smaranda Polojan,Amsterdam (Noord-Holland),Romania,01:08:32 
150,151,Ayse Dilara Düğmeci,İstanbul,Türkiye,01:08:40 
151,152,Joyce Petry,Vianden,Luxembourg,01:10:09 
152,153,Riikka Utriainen,Helsinki (Uusimaa),Finland,01:11:11 
153,154,Janette Perme,Ljubljana (Central Slovenia),Slovenia,01:11:33 
154,155,Elitsa Kerefeyska,Varna,Bulgaria,01:11:44 
155,156,Katharina Pickar,Mamer,Luxembourg,01:13:21 
156,157,Santos Martín Kato,Valladolid,Japan,01:13:53 
157,158,Mariya Lyapeva,Sofia,Bulgaria,01:14:06 
158,159,Kirsty Williams,Newport (Gwent),United Kingdom,01:14:49 
159,160,Ieva Opmane,Mārupe (Select State...),Latvia,01:14:53 
160,161,Dan Martin,London (England),Ireland,01:14:59 
161,162,Mathilde Patthey,Santiago,Chile,497 Pieces
162,163,Africa Jacques Scheepers,Munich (Bavaria),South Africa,484 Pieces
163,164,Natalia Gatti,Buenos Aires,Argentina,483 Pieces
164,165,Vasso Kalaitzidou,Athens (Attica),Greece,468 Pieces
165,166,Jana Dragan,Novo Mesto (Slovenia),Slovenia,450 Pieces
166,167,Veronika Lenart,Uzhhorod (Transcarpathia),Ukraine,446 Pieces
167,168,Iva Kijevcanin,Belgrade (Serbia),Serbia,445 Pieces
168,169,Christie Sototuka,São Paulo,Brazil,443 Pieces
169,170,Zhenwei Gu,Shanghai,China,435 Pieces
170,170,Horacio Rodríguez García,San Luis Potosí,Mexico,435 Pieces
171,170,Foteini Sotiriou,Larnaca,Cyprus,435 Pieces
172,173,Anna Artyukhova,Nicosia,Cyprus,431 Pieces
173,174,Ayelén Galarza Rial,CABA,Argentina,424 Pieces
174,175,Lisbeth Sofia Hernández Ruiz,Augsburg (Bavaria),Guatemala,420 Pieces
175,176,Gabriela Wagner,Timisoara (Timis),Romania,410 Pieces
176,177,Ramona Ackermann,Zürich,Switzerland,407 Pieces
177,178,Maya Binetskaya Semiankova,Madrid,Belarus,399 Pieces
178,179,Paula Do Amaral Nogueira,São Paulo,Brazil,387 Pieces
179,180,Agústa Dan Árnadóttir,Reykjavik,Iceland,372 Pieces
